,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Palmeiras - SP,2,Cuiabá Saf - MT,1,3,0
1,1,América Saf - MG,0,Fluminense - RJ,3,0,3
2,1,Botafogo - RJ,2,São Paulo - SP,1,3,0
3,1,Athletico Paranaense - PR,2,Goiás - GO,0,3,0
4,1,Red Bull Bragantino - SP,2,Bahia - BA,1,3,0
5,1,Fortaleza - CE,1,Internacional - RS,1,1,1
6,1,Atlético Mineiro Saf - MG,1,Vasco da Gama S.a.f. - RJ,2,0,3
7,1,Flamengo - RJ,3,Coritiba S.a.f. - PR,0,3,0
8,1,Corinthians - SP,2,Cruzeiro Saf - MG,1,3,0
9,1,Grêmio - RS,1,Santos - SP,0,3,0
10,2,Fluminense - RJ,2,Athletico Paranaense - PR,0,3,0
11,2,Cuiabá Saf - MT,1,Red Bull Bragantino - SP,1,1,1
12,2,São Paulo - SP,3,América Saf - MG,0,3,0
13,2,Cruzeiro Saf - MG,1,Grêmio - RS,0,3,0
14,2,Internacional - RS,2,Flamengo - RJ,1,3,0
15,2,Santos - SP,0,Atlético Mineiro Saf - MG,0,1,1
16,2,Vasco da Gama S.a.f. - RJ,2,Palmeiras - SP,2,1,1
17,2,Coritiba S.a.f. - PR,0,Fortaleza - CE,3,0,3
18,2,Goiás - GO,3,Corinthians - SP,1,3,0
19,2,Bahia - BA,1,Botafogo - RJ,2,0,3
20,3,Fortaleza - CE,4,Fluminense - RJ,2,3,0
21,3,Coritiba S.a.f. - PR,1,São Paulo - SP,1,1,1
22,3,Palmeiras - SP,2,Corinthians - SP,1,3,0
23,3,Santos - SP,3,América Saf - MG,2,3,0
24,3,Red Bull Bragantino - SP,0,Cruzeiro Saf - MG,3,0,3
25,3,Atlético Mineiro Saf - MG,2,Athletico Paranaense - PR,1,3,0
26,3,Flamengo - RJ,2,Botafogo - RJ,3,0,3
27,3,Cuiabá Saf - MT,1,Grêmio - RS,2,0,3
28,3,Internacional - RS,1,Goiás - GO,0,3,0
29,3,Vasco da Gama S.a.f. - RJ,0,Bahia - BA,1,0,3
30,4,Cruzeiro Saf - MG,2,Santos - SP,1,3,0
31,4,Fluminense - RJ,1,Vasco da Gama S.a.f. - RJ,1,1,1
32,4,América Saf - MG,1,Cuiabá Saf - MT,2,0,3
33,4,Athletico Paranaense - PR,2,Flamengo - RJ,1,3,0
34,4,Bahia - BA,3,Coritiba S.a.f. - PR,1,3,0
35,4,São Paulo - SP,2,Internacional - RS,0,3,0
36,4,Grêmio - RS,3,Red Bull Bragantino - SP,3,1,1
37,4,Botafogo - RJ,2,Atlético Mineiro Saf - MG,0,3,0
38,4,Goiás - GO,0,Palmeiras - SP,5,0,3
39,4,Corinthians - SP,1,Fortaleza - CE,1,1,1
40,5,Santos - SP,3,Bahia - BA,0,3,0
41,5,Red Bull Bragantino - SP,2,América Saf - MG,2,1,1
42,5,Internacional - RS,0,Athletico Paranaense - PR,2,0,3
43,5,Flamengo - RJ,2,Goiás - GO,0,3,0
44,5,Cuiabá Saf - MT,0,Atlético Mineiro Saf - MG,4,0,3
45,5,Palmeiras - SP,4,Grêmio - RS,1,3,0
46,5,Cruzeiro Saf - MG,0,Fluminense - RJ,2,0,3
47,5,Coritiba S.a.f. - PR,1,Vasco da Gama S.a.f. - RJ,1,1,1
48,5,Botafogo - RJ,3,Corinthians - SP,0,3,0
49,5,Fortaleza - CE,0,São Paulo - SP,0,1,1
50,6,Bahia - BA,2,Flamengo - RJ,3,0,3
51,6,Fluminense - RJ,2,Cuiabá Saf - MT,0,3,0
52,6,Palmeiras - SP,1,Red Bull Bragantino - SP,1,1,1
53,6,Atlético Mineiro Saf - MG,2,Internacional - RS,0,3,0
54,6,Grêmio - RS,0,Fortaleza - CE,0,1,1
55,6,Vasco da Gama S.a.f. - RJ,0,Santos - SP,1,0,3
56,6,Corinthians - SP,1,São Paulo - SP,1,1,1
57,6,Goiás - GO,2,Botafogo - RJ,1,3,0
58,6,Athletico Paranaense - PR,3,Coritiba S.a.f. - PR,2,3,0
59,6,América Saf - MG,0,Cruzeiro Saf - MG,4,0,3
60,7,Bahia - BA,1,Goiás - GO,1,1,1
61,7,Coritiba S.a.f. - PR,1,Atlético Mineiro Saf - MG,2,0,3
62,7,Botafogo - RJ,1,Fluminense - RJ,0,3,0
63,7,São Paulo - SP,4,Vasco da Gama S.a.f. - RJ,2,3,0
64,7,América Saf - MG,2,Fortaleza - CE,1,3,0
65,7,Red Bull Bragantino - SP,2,Athletico Paranaense - PR,0,3,0
66,7,Santos - SP,0,Palmeiras - SP,0,1,1
67,7,Flamengo - RJ,1,Corinthians - SP,0,3,0
68,7,Grêmio - RS,3,Internacional - RS,1,3,0
69,7,Cruzeiro Saf - MG,0,Cuiabá Saf - MT,1,0,3
70,8,Athletico Paranaense - PR,1,Grêmio - RS,2,0,3
71,8,Fortaleza - CE,2,Vasco da Gama S.a.f. - RJ,0,3,0
72,8,Flamengo - RJ,1,Cruzeiro Saf - MG,1,1,1
73,8,Cuiabá Saf - MT,1,Coritiba S.a.f. - PR,1,1,1
74,8,São Paulo - SP,2,Goiás - GO,1,3,0
75,8,Internacional - RS,2,Bahia - BA,0,3,0
76,8,Corinthians - SP,2,Fluminense - RJ,0,3,0
77,8,Atlético Mineiro Saf - MG,1,Palmeiras - SP,1,1,1
78,8,Red Bull Bragantino - SP,2,Santos - SP,0,3,0
79,8,Botafogo - RJ,2,América Saf - MG,0,3,0
80,9,Fortaleza - CE,0,Bahia - BA,0,1,1
81,9,Cruzeiro Saf - MG,0,Atlético Mineiro Saf - MG,1,0,3
82,9,América Saf - MG,2,Corinthians - SP,0,3,0
83,9,Athletico Paranaense - PR,1,Botafogo - RJ,0,3,0
84,9,Santos - SP,1,Internacional - RS,1,1,1
85,9,Grêmio - RS,2,São Paulo - SP,1,3,0
86,9,Fluminense - RJ,2,Red Bull Bragantino - SP,1,3,0
87,9,Goiás - GO,0,Cuiabá Saf - MT,1,0,3
88,9,Palmeiras - SP,3,Coritiba S.a.f. - PR,1,3,0
89,9,Vasco da Gama S.a.f. - RJ,1,Flamengo - RJ,4,0,3
90,10,Coritiba S.a.f. - PR,0,Santos - SP,0,1,1
91,10,Bahia - BA,2,Cruzeiro Saf - MG,2,1,1
92,10,Atlético Mineiro Saf - MG,1,Red Bull Bragantino - SP,1,1,1
93,10,Corinthians - SP,1,Cuiabá Saf - MT,1,1,1
94,10,Botafogo - RJ,2,Fortaleza - CE,0,3,0
95,10,América Saf - MG,2,Athletico Paranaense - PR,2,1,1
96,10,Internacional - RS,2,Vasco da Gama S.a.f. - RJ,1,3,0
97,10,São Paulo - SP,0,Palmeiras - SP,2,0,3
98,10,Goiás - GO,2,Fluminense - RJ,2,1,1
99,10,Flamengo - RJ,3,Grêmio - RS,0,3,0
100,11,São Paulo - SP,2,Athletico Paranaense - PR,1,3,0
101,11,Cruzeiro Saf - MG,0,Fortaleza - CE,1,0,3
102,11,Santos - SP,0,Corinthians - SP,2,0,3
103,11,Bahia - BA,1,Palmeiras - SP,0,3,0
104,11,Fluminense - RJ,1,Atlético Mineiro Saf - MG,1,1,1
105,11,Grêmio - RS,3,América Saf - MG,1,3,0
106,11,Cuiabá Saf - MT,0,Botafogo - RJ,1,0,3
107,11,Coritiba S.a.f. - PR,0,Internacional - RS,1,0,3
108,11,Vasco da Gama S.a.f. - RJ,0,Goiás - GO,1,0,3
109,11,Red Bull Bragantino - SP,4,Flamengo - RJ,0,3,0
110,12,Athletico Paranaense - PR,1,Corinthians - SP,0,3,0
111,12,Fluminense - RJ,2,Bahia - BA,1,3,0
112,12,Fortaleza - CE,2,Atlético Mineiro Saf - MG,1,3,0
113,12,Cruzeiro Saf - MG,1,São Paulo - SP,0,3,0
114,12,Grêmio - RS,5,Coritiba S.a.f. - PR,1,3,0
115,12,Palmeiras - SP,0,Botafogo - RJ,1,0,3
116,12,América Saf - MG,1,Internacional - RS,2,0,3
117,12,Red Bull Bragantino - SP,2,Goiás - GO,0,3,0
118,12,Santos - SP,2,Flamengo - RJ,3,0,3
119,12,Vasco da Gama S.a.f. - RJ,1,Cuiabá Saf - MT,0,3,0
120,13,São Paulo - SP,1,Fluminense - RJ,0,3,0
121,13,Flamengo - RJ,2,Fortaleza - CE,0,3,0
122,13,Bahia - BA,1,Grêmio - RS,2,0,3
123,13,Internacional - RS,0,Cruzeiro Saf - MG,0,1,1
124,13,Corinthians - SP,0,Red Bull Bragantino - SP,1,0,3
125,13,Athletico Paranaense - PR,2,Palmeiras - SP,2,1,1
126,13,Botafogo - RJ,2,Vasco da Gama S.a.f. - RJ,0,3,0
127,13,Atlético Mineiro Saf - MG,2,América Saf - MG,2,1,1
128,13,Cuiabá Saf - MT,3,Santos - SP,0,3,0
129,13,Goiás - GO,1,Coritiba S.a.f. - PR,2,0,3
130,14,Vasco da Gama S.a.f. - RJ,0,Cruzeiro Saf - MG,1,0,3
131,14,Cuiabá Saf - MT,1,Bahia - BA,1,1,1
132,14,Atlético Mineiro Saf - MG,0,Corinthians - SP,1,0,3
133,14,Coritiba S.a.f. - PR,3,América Saf - MG,1,3,0
134,14,Palmeiras - SP,1,Flamengo - RJ,1,1,1
135,14,Santos - SP,4,Goiás - GO,3,3,0
136,14,Red Bull Bragantino - SP,0,São Paulo - SP,0,1,1
137,14,Fluminense - RJ,2,Internacional - RS,0,3,0
138,14,Grêmio - RS,0,Botafogo - RJ,2,0,3
139,14,Fortaleza - CE,1,Athletico Paranaense - PR,0,3,0
140,15,Botafogo - RJ,2,Red Bull Bragantino - SP,0,3,0
141,15,Cruzeiro Saf - MG,0,Coritiba S.a.f. - PR,0,1,1
142,15,Fortaleza - CE,0,Cuiabá Saf - MT,1,0,3
143,15,São Paulo - SP,4,Santos - SP,1,3,0
144,15,Fluminense - RJ,0,Flamengo - RJ,0,1,1
145,15,Internacional - RS,0,Palmeiras - SP,0,1,1
146,15,Athletico Paranaense - PR,2,Bahia - BA,0,3,0
147,15,Goiás - GO,0,Atlético Mineiro Saf - MG,0,1,1
148,15,Corinthians - SP,4,Grêmio - RS,4,1,1
149,15,América Saf - MG,0,Vasco da Gama S.a.f. - RJ,1,0,3
150,16,Flamengo - RJ,1,América Saf - MG,1,1,1
151,16,Palmeiras - SP,3,Fortaleza - CE,1,3,0
152,16,Cuiabá Saf - MT,2,São Paulo - SP,1,3,0
153,16,Bahia - BA,0,Corinthians - SP,0,1,1
154,16,Grêmio - RS,1,Atlético Mineiro Saf - MG,0,3,0
155,16,Santos - SP,2,Botafogo - RJ,2,1,1
156,16,Red Bull Bragantino - SP,0,Internacional - RS,0,1,1
157,16,Cruzeiro Saf - MG,0,Goiás - GO,1,0,3
158,16,Vasco da Gama S.a.f. - RJ,0,Athletico Paranaense - PR,2,0,3
159,16,Coritiba S.a.f. - PR,2,Fluminense - RJ,0,3,0
160,17,Internacional - RS,1,Cuiabá Saf - MT,2,0,3
161,17,Athletico Paranaense - PR,3,Cruzeiro Saf - MG,3,1,1
162,17,Fluminense - RJ,1,Santos - SP,0,3,0
163,17,Corinthians - SP,3,Vasco da Gama S.a.f. - RJ,1,3,0
164,17,Fortaleza - CE,0,Red Bull Bragantino - SP,3,0,3
165,17,Atlético Mineiro Saf - MG,1,Flamengo - RJ,2,0,3
166,17,São Paulo - SP,0,Bahia - BA,0,1,1
167,17,América Saf - MG,1,Palmeiras - SP,4,0,3
168,17,Botafogo - RJ,4,Coritiba S.a.f. - PR,1,3,0
169,17,Goiás - GO,1,Grêmio - RS,1,1,1
170,18,Santos - SP,1,Athletico Paranaense - PR,1,1,1
171,18,Internacional - RS,2,Corinthians - SP,2,1,1
172,18,Goiás - GO,1,Fortaleza - CE,0,3,0
173,18,Fluminense - RJ,2,Palmeiras - SP,1,3,0
174,18,Vasco da Gama S.a.f. - RJ,1,Grêmio - RS,0,3,0
175,18,São Paulo - SP,0,Atlético Mineiro Saf - MG,2,0,3
176,18,Bahia - BA,3,América Saf - MG,1,3,0
177,18,Coritiba S.a.f. - PR,0,Red Bull Bragantino - SP,1,0,3
178,18,Cruzeiro Saf - MG,0,Botafogo - RJ,0,1,1
179,18,Cuiabá Saf - MT,3,Flamengo - RJ,0,3,0
180,19,Botafogo - RJ,3,Internacional - RS,1,3,0
181,19,Atlético Mineiro Saf - MG,1,Bahia - BA,0,3,0
182,19,Corinthians - SP,3,Coritiba S.a.f. - PR,1,3,0
183,19,Grêmio - RS,2,Fluminense - RJ,1,3,0
184,19,América Saf - MG,0,Goiás - GO,1,0,3
185,19,Flamengo - RJ,1,São Paulo - SP,1,1,1
186,19,Fortaleza - CE,4,Santos - SP,0,3,0
187,19,Palmeiras - SP,1,Cruzeiro Saf - MG,0,3,0
188,19,Red Bull Bragantino - SP,1,Vasco da Gama S.a.f. - RJ,1,1,1
189,19,Athletico Paranaense - PR,2,Cuiabá Saf - MT,0,3,0
190,20,São Paulo - SP,0,Botafogo - RJ,0,1,1
191,20,Internacional - RS,0,Fortaleza - CE,1,0,3
192,20,Cuiabá Saf - MT,0,Palmeiras - SP,2,0,3
193,20,Fluminense - RJ,3,América Saf - MG,1,3,0
194,20,Cruzeiro Saf - MG,1,Corinthians - SP,1,1,1
195,20,Vasco da Gama S.a.f. - RJ,1,Atlético Mineiro Saf - MG,0,3,0
196,20,Santos - SP,2,Grêmio - RS,1,3,0
197,20,Coritiba S.a.f. - PR,2,Flamengo - RJ,3,0,3
198,20,Bahia - BA,4,Red Bull Bragantino - SP,0,3,0
199,20,Goiás - GO,1,Athletico Paranaense - PR,1,1,1
200,21,Flamengo - RJ,0,Internacional - RS,0,1,1
201,21,Corinthians - SP,1,Goiás - GO,1,1,1
202,21,Red Bull Bragantino - SP,2,Cuiabá Saf - MT,0,3,0
203,21,América Saf - MG,2,São Paulo - SP,1,3,0
204,21,Botafogo - RJ,3,Bahia - BA,0,3,0
205,21,Atlético Mineiro Saf - MG,2,Santos - SP,0,3,0
206,21,Athletico Paranaense - PR,2,Fluminense - RJ,2,1,1
207,21,Fortaleza - CE,3,Coritiba S.a.f. - PR,1,3,0
208,21,Palmeiras - SP,1,Vasco da Gama S.a.f. - RJ,0,3,0
209,21,Grêmio - RS,3,Cruzeiro Saf - MG,0,3,0
210,22,Goiás - GO,0,Internacional - RS,0,1,1
211,22,Athletico Paranaense - PR,1,Atlético Mineiro Saf - MG,1,1,1
212,22,Botafogo - RJ,1,Flamengo - RJ,2,0,3
213,22,Grêmio - RS,2,Cuiabá Saf - MT,0,3,0
214,22,Fluminense - RJ,1,Fortaleza - CE,0,3,0
215,22,Corinthians - SP,0,Palmeiras - SP,0,1,1
216,22,Cruzeiro Saf - MG,0,Red Bull Bragantino - SP,0,1,1
217,22,Bahia - BA,1,Vasco da Gama S.a.f. - RJ,1,1,1
218,22,América Saf - MG,2,Santos - SP,0,3,0
219,22,São Paulo - SP,2,Coritiba S.a.f. - PR,1,3,0
220,23,Flamengo - RJ,0,Athletico Paranaense - PR,3,0,3
221,23,Internacional - RS,2,São Paulo - SP,1,3,0
222,23,Santos - SP,0,Cruzeiro Saf - MG,3,0,3
223,23,Fortaleza - CE,2,Corinthians - SP,1,3,0
224,23,Coritiba S.a.f. - PR,2,Bahia - BA,4,0,3
225,23,Red Bull Bragantino - SP,2,Grêmio - RS,0,3,0
226,23,Cuiabá Saf - MT,2,América Saf - MG,2,1,1
227,23,Palmeiras - SP,1,Goiás - GO,0,3,0
228,23,Vasco da Gama S.a.f. - RJ,4,Fluminense - RJ,2,3,0
229,23,Atlético Mineiro Saf - MG,1,Botafogo - RJ,0,3,0
230,24,Bahia - BA,1,Santos - SP,2,0,3
231,24,América Saf - MG,0,Red Bull Bragantino - SP,2,0,3
232,24,Goiás - GO,0,Flamengo - RJ,0,1,1
233,24,Fluminense - RJ,1,Cruzeiro Saf - MG,0,3,0
234,24,São Paulo - SP,1,Fortaleza - CE,2,0,3
235,24,Vasco da Gama S.a.f. - RJ,5,Coritiba S.a.f. - PR,1,3,0
236,24,Athletico Paranaense - PR,2,Internacional - RS,1,3,0
237,24,Grêmio - RS,1,Palmeiras - SP,0,3,0
238,24,Corinthians - SP,1,Botafogo - RJ,0,3,0
239,24,Atlético Mineiro Saf - MG,1,Cuiabá Saf - MT,0,3,0
240,25,Flamengo - RJ,1,Bahia - BA,0,3,0
241,25,Fortaleza - CE,1,Grêmio - RS,1,1,1
242,25,Cuiabá Saf - MT,3,Fluminense - RJ,0,3,0
243,25,São Paulo - SP,2,Corinthians - SP,1,3,0
244,25,Internacional - RS,0,Atlético Mineiro Saf - MG,2,0,3
245,25,Coritiba S.a.f. - PR,2,Athletico Paranaense - PR,0,3,0
246,25,Cruzeiro Saf - MG,1,América Saf - MG,1,1,1
247,25,Santos - SP,4,Vasco da Gama S.a.f. - RJ,1,3,0
248,25,Red Bull Bragantino - SP,2,Palmeiras - SP,1,3,0
249,25,Botafogo - RJ,1,Goiás - GO,1,1,1
250,26,Goiás - GO,4,Bahia - BA,6,0,3
251,26,Vasco da Gama S.a.f. - RJ,0,São Paulo - SP,0,1,1
252,26,Corinthians - SP,1,Flamengo - RJ,1,1,1
253,26,Internacional - RS,3,Grêmio - RS,2,3,0
254,26,Fluminense - RJ,0,Botafogo - RJ,2,0,3
255,26,Palmeiras - SP,1,Santos - SP,2,0,3
256,26,Fortaleza - CE,3,América Saf - MG,2,3,0
257,26,Atlético Mineiro Saf - MG,1,Coritiba S.a.f. - PR,2,0,3
258,26,Athletico Paranaense - PR,1,Red Bull Bragantino - SP,1,1,1
259,26,Cuiabá Saf - MT,0,Cruzeiro Saf - MG,0,1,1
260,27,Grêmio - RS,1,Athletico Paranaense - PR,2,0,3
261,27,Coritiba S.a.f. - PR,0,Cuiabá Saf - MT,3,0,3
262,27,América Saf - MG,1,Botafogo - RJ,2,0,3
263,27,Vasco da Gama S.a.f. - RJ,1,Fortaleza - CE,0,3,0
264,27,Goiás - GO,2,São Paulo - SP,0,3,0
265,27,Bahia - BA,1,Internacional - RS,0,3,0
266,27,Palmeiras - SP,0,Atlético Mineiro Saf - MG,2,0,3
267,27,Cruzeiro Saf - MG,0,Flamengo - RJ,2,0,3
268,27,Santos - SP,1,Red Bull Bragantino - SP,3,0,3
269,27,Fluminense - RJ,3,Corinthians - SP,3,1,1
270,28,Bahia - BA,2,Fortaleza - CE,0,3,0
271,28,Cuiabá Saf - MT,1,Goiás - GO,1,1,1
272,28,São Paulo - SP,3,Grêmio - RS,0,3,0
273,28,Botafogo - RJ,1,Athletico Paranaense - PR,1,1,1
274,28,Atlético Mineiro Saf - MG,0,Cruzeiro Saf - MG,1,0,3
275,28,Internacional - RS,7,Santos - SP,1,3,0
276,28,Flamengo - RJ,1,Vasco da Gama S.a.f. - RJ,0,3,0
277,28,Red Bull Bragantino - SP,1,Fluminense - RJ,0,3,0
278,28,Coritiba S.a.f. - PR,0,Palmeiras - SP,2,0,3
279,28,Corinthians - SP,1,América Saf - MG,1,1,1
280,29,Fluminense - RJ,5,Goiás - GO,3,3,0
281,29,Athletico Paranaense - PR,3,América Saf - MG,2,3,0
282,29,Red Bull Bragantino - SP,1,Atlético Mineiro Saf - MG,2,0,3
283,29,Palmeiras - SP,5,São Paulo - SP,0,3,0
284,29,Cruzeiro Saf - MG,3,Bahia - BA,0,3,0
