,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,América - MG,0,0,0,1,Casa,0,1,-1,0,0.0
1,2,América - MG,0,0,0,2,Fora,1,4,-3,0,0.0
2,3,América - MG,1,0,1,2,Casa,2,5,-3,1,11.11
3,4,América - MG,1,0,2,2,Fora,3,6,-3,2,16.67
4,5,América - MG,0,0,2,3,Casa,4,8,-4,2,13.33
5,6,América - MG,3,1,2,3,Casa,5,8,-3,5,27.78
6,7,América - MG,0,1,2,4,Fora,6,11,-5,5,23.81
7,8,América - MG,0,1,2,5,Fora,7,14,-7,5,20.83
8,9,América - MG,3,2,2,5,Casa,9,15,-6,8,29.63
9,10,América - MG,0,2,2,6,Fora,9,17,-8,8,26.67
10,11,América - MG,0,2,2,7,Casa,9,18,-9,8,24.24
11,12,América - MG,0,2,2,8,Casa,9,20,-11,8,22.22
12,13,América - MG,0,2,2,9,Fora,9,21,-12,8,20.51
13,14,América - MG,0,2,2,10,Fora,9,24,-15,8,19.05
14,15,América - MG,0,2,2,11,Casa,9,27,-18,8,17.78
15,16,América - MG,0,2,2,12,Fora,10,29,-19,8,16.67
16,17,América - MG,1,2,3,12,Casa,10,29,-19,9,17.65
17,18,América - MG,1,2,4,12,Fora,11,30,-19,10,18.52
18,19,América - MG,3,3,4,12,Casa,12,30,-18,13,22.81
19,20,América - MG,0,3,4,13,Fora,12,31,-19,13,21.67
20,21,América - MG,0,3,4,14,Casa,13,33,-20,13,20.63
21,22,América - MG,0,3,4,15,Fora,14,35,-21,13,19.7
22,23,América - MG,0,3,4,16,Casa,14,37,-23,13,18.84
23,24,América - MG,1,3,5,16,Fora,15,38,-23,14,19.44
24,25,América - MG,1,3,6,16,Fora,17,40,-23,15,20.0
25,26,América - MG,3,4,6,16,Casa,18,40,-22,18,23.08
26,27,América - MG,3,5,6,16,Casa,19,40,-21,21,25.93
27,28,América - MG,0,5,6,17,Fora,19,43,-24,21,25.0
28,29,América - MG,0,5,6,18,Casa,19,45,-26,21,24.14
29,30,América - MG,0,5,6,19,Fora,19,48,-29,21,23.33
30,31,América - MG,0,5,6,20,Fora,19,50,-31,21,22.58
31,32,América - MG,3,6,6,20,Casa,20,50,-30,24,25.0
32,33,América - MG,3,7,6,20,Casa,21,50,-29,27,27.27
33,34,América - MG,0,7,6,21,Fora,21,51,-30,27,26.47
34,35,América - MG,0,7,6,22,Casa,21,52,-31,27,25.71
35,36,América - MG,0,7,6,23,Fora,21,55,-34,27,25.0
36,37,América - MG,1,7,7,23,Casa,23,57,-34,28,25.23
37,38,América - MG,0,7,7,24,Fora,23,58,-35,28,24.56
38,1,Atlético - MG,3,1,0,0,Casa,1,0,1,3,100.0
39,2,Atlético - MG,1,1,1,0,Fora,2,1,1,4,66.67
40,3,Atlético - MG,0,1,1,1,Casa,2,4,-2,4,44.44
41,4,Atlético - MG,1,1,2,1,Fora,3,5,-2,5,41.67
42,5,Atlético - MG,1,1,3,1,Casa,4,6,-2,6,40.0
43,6,Atlético - MG,1,1,4,1,Fora,8,10,-2,7,38.89
44,7,Atlético - MG,0,1,4,2,Casa,10,13,-3,7,33.33
45,8,Atlético - MG,0,1,4,3,Fora,10,15,-5,7,29.17
46,9,Atlético - MG,3,2,4,3,Casa,13,15,-2,10,37.04
47,10,Atlético - MG,3,3,4,3,Casa,15,16,-1,13,43.33
48,11,Atlético - MG,3,4,4,3,Fora,16,16,0,16,48.48
49,12,Atlético - MG,3,5,4,3,Casa,21,19,2,19,52.78
50,13,Atlético - MG,1,5,5,3,Fora,22,20,2,20,51.28
51,14,Atlético - MG,0,5,5,4,Fora,22,22,0,20,47.62
52,15,Atlético - MG,3,6,5,4,Casa,24,23,1,23,51.11
53,16,Atlético - MG,3,7,5,4,Fora,25,23,2,26,54.17
54,17,Atlético - MG,3,8,5,4,Casa,28,23,5,29,56.86
55,18,Atlético - MG,3,9,5,4,Fora,30,24,6,32,59.26
56,19,Atlético - MG,3,10,5,4,Casa,33,25,8,35,61.4
57,20,Atlético - MG,0,10,5,5,Fora,33,28,5,35,58.33
58,21,Atlético - MG,3,11,5,5,Casa,34,28,6,38,60.32
59,22,Atlético - MG,1,11,6,5,Fora,35,29,6,39,59.09
60,23,Atlético - MG,3,12,6,5,Casa,37,30,7,42,60.87
61,24,Atlético - MG,0,12,6,6,Fora,39,34,5,42,58.33
62,25,Atlético - MG,3,13,6,6,Casa,40,34,6,45,60.0
63,26,Atlético - MG,1,13,7,6,Fora,41,35,6,46,58.97
64,27,Atlético - MG,3,14,7,6,Casa,44,36,8,49,60.49
65,28,Atlético - MG,3,15,7,6,Fora,46,37,9,52,61.9
66,29,Atlético - MG,1,15,8,6,Fora,46,37,9,53,60.92
67,30,Atlético - MG,3,16,8,6,Casa,49,37,12,56,62.22
68,31,Atlético - MG,0,16,8,7,Fora,51,40,11,56,60.22
69,32,Atlético - MG,3,17,8,7,Casa,54,40,14,59,61.46
70,33,Atlético - MG,1,17,9,7,Casa,56,42,14,60,60.61
71,34,Atlético - MG,0,17,9,8,Fora,56,44,12,60,58.82
72,35,Atlético - MG,1,17,10,8,Casa,57,45,12,61,58.1
